"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 20 17:36:53 EEST 2021","Mon Sep 20 17:37:02 EEST 2021","9409","","Articles pages","","Articles pages","Subscribe","Subscribe",""
"passed","Mon Sep 20 17:38:52 EEST 2021","Mon Sep 20 17:39:00 EEST 2021","7460","","Home page","","Home page","Menu","Menu",""
"passed","Mon Sep 20 17:40:11 EEST 2021","Mon Sep 20 17:40:16 EEST 2021","4755","","Search","","Search","Search with valid word","Search with valid word",""
"passed","Mon Sep 20 17:36:52 EEST 2021","Mon Sep 20 17:37:11 EEST 2021","19548","","Category and articles for category","","Category and articles for category","Category","Category",""
"failed","Mon Sep 20 17:41:18 EEST 2021","Mon Sep 20 17:41:30 EEST 2021","12023","","Latest category and editor' picks","","Latest category and editor' picks","Editor`s Picks","Editor`s Picks",""
"broken","Mon Sep 20 17:41:52 EEST 2021","Mon Sep 20 17:42:05 EEST 2021","12206","","Subscribe","","Subscribe","Subscribe with invalid email on the articles page ","Subscribe with invalid email on the articles page ",""
"passed","Mon Sep 20 17:38:26 EEST 2021","Mon Sep 20 17:38:42 EEST 2021","16528","","Category and articles for category","","Category and articles for category","Category","Category",""
"failed","Mon Sep 20 17:39:37 EEST 2021","Mon Sep 20 17:40:05 EEST 2021","27654","","Latest category and editor' picks","","Latest category and editor' picks","Articles for latest category","Articles for latest category",""
"passed","Mon Sep 20 17:36:10 EEST 2021","Mon Sep 20 17:36:22 EEST 2021","11971","","Articles pages","","Articles pages","Trending On Honest To Paws","Trending On Honest To Paws",""
"passed","Mon Sep 20 17:38:13 EEST 2021","Mon Sep 20 17:38:21 EEST 2021","8243","","Articles pages","","Articles pages","Social media","Social media",""
"passed","Mon Sep 20 17:40:24 EEST 2021","Mon Sep 20 17:40:30 EEST 2021","5937","","Subscribe","","Subscribe","Subscribe on the articles page","Subscribe on the articles page",""
"passed","Mon Sep 20 17:41:42 EEST 2021","Mon Sep 20 17:41:43 EEST 2021","1490","","Search","","Search","Search with invalid word","Search with invalid word",""
"passed","Mon Sep 20 17:39:26 EEST 2021","Mon Sep 20 17:39:35 EEST 2021","8385","","Category and articles for category","","Category and articles for category","Articles for good category","Articles for good category",""
"passed","Mon Sep 20 17:36:38 EEST 2021","Mon Sep 20 17:36:46 EEST 2021","8092","","Articles pages","","Articles pages","Social media","Social media",""
"broken","Mon Sep 20 17:40:05 EEST 2021","Mon Sep 20 17:40:05 EEST 2021","53","","Latest category and editor' picks","","Latest category and editor' picks","Editor`s Picks","Editor`s Picks",""
"broken","Mon Sep 20 17:39:05 EEST 2021","Mon Sep 20 17:39:17 EEST 2021","12161","","Home page","","Home page","Hamburger Menu first part","Hamburger Menu first part",""
"passed","Mon Sep 20 17:39:00 EEST 2021","Mon Sep 20 17:39:05 EEST 2021","5310","","Home page","","Home page","Submenu","Submenu",""
"passed","Mon Sep 20 17:40:16 EEST 2021","Mon Sep 20 17:40:18 EEST 2021","1602","","Search","","Search","Search with invalid word","Search with invalid word",""
"passed","Mon Sep 20 17:37:56 EEST 2021","Mon Sep 20 17:38:15 EEST 2021","18872","","Category and articles for category","","Category and articles for category","Articles for good category","Articles for good category",""
"passed","Mon Sep 20 17:39:27 EEST 2021","Mon Sep 20 17:39:31 EEST 2021","3393","","Home page","","Home page","Footer","Footer",""
"broken","Mon Sep 20 17:38:42 EEST 2021","Mon Sep 20 17:39:05 EEST 2021","22597","","Category and articles for category","","Category and articles for category","Articles for cute category","Articles for cute category",""
"passed","Mon Sep 20 17:37:02 EEST 2021","Mon Sep 20 17:37:57 EEST 2021","54808","","Articles pages","","Articles pages","Trending On Honest To Paws","Trending On Honest To Paws",""
"broken","Mon Sep 20 17:37:11 EEST 2021","Mon Sep 20 17:37:33 EEST 2021","22018","","Category and articles for category","","Category and articles for category","Articles for cute category","Articles for cute category",""
"failed","Mon Sep 20 17:40:06 EEST 2021","Mon Sep 20 17:40:18 EEST 2021","11778","","Home page","","Home page","Submenu","Submenu",""
"passed","Mon Sep 20 17:35:39 EEST 2021","Mon Sep 20 17:36:49 EEST 2021","70097","","All the articles","","All the articles","Click on the all articles","Click on the all articles",""
"broken","Mon Sep 20 17:40:30 EEST 2021","Mon Sep 20 17:40:42 EEST 2021","12476","","Subscribe","","Subscribe","Subscribe with invalid email on the articles page ","Subscribe with invalid email on the articles page ",""
"broken","Mon Sep 20 17:39:05 EEST 2021","Mon Sep 20 17:39:26 EEST 2021","21562","","Category and articles for category","","Category and articles for category","Articles for fuuny category","Articles for fuuny category",""
"passed","Mon Sep 20 17:42:05 EEST 2021","Mon Sep 20 17:42:09 EEST 2021","4116","","Subscribe","","Subscribe","Subscribe after press email button","Subscribe after press email button",""
"passed","Mon Sep 20 17:40:41 EEST 2021","Mon Sep 20 17:40:48 EEST 2021","7545","","Home page","","Home page","Footer","Footer",""
"passed","Mon Sep 20 17:36:22 EEST 2021","Mon Sep 20 17:36:38 EEST 2021","15259","","Articles pages","","Articles pages","More from Honest To Paws","More from Honest To Paws",""
"passed","Mon Sep 20 17:41:46 EEST 2021","Mon Sep 20 17:41:52 EEST 2021","6338","","Subscribe","","Subscribe","Subscribe on the articles page","Subscribe on the articles page",""
"broken","Mon Sep 20 17:37:33 EEST 2021","Mon Sep 20 17:37:56 EEST 2021","23003","","Category and articles for category","","Category and articles for category","Articles for fuuny category","Articles for fuuny category",""
"broken","Mon Sep 20 17:39:35 EEST 2021","Mon Sep 20 17:39:57 EEST 2021","21962","","Category and articles for category","","Category and articles for category","Articles for omg category","Articles for omg category",""
"broken","Mon Sep 20 17:35:43 EEST 2021","Mon Sep 20 17:35:43 EEST 2021","122","","All the articles","","All the articles","Click on the all articles","Click on the all articles",""
"passed","Mon Sep 20 17:35:58 EEST 2021","Mon Sep 20 17:36:10 EEST 2021","11819","","Articles pages","","Articles pages","Subscribe","Subscribe",""
"passed","Mon Sep 20 17:37:57 EEST 2021","Mon Sep 20 17:38:13 EEST 2021","16018","","Articles pages","","Articles pages","More from Honest To Paws","More from Honest To Paws",""
"failed","Mon Sep 20 17:40:51 EEST 2021","Mon Sep 20 17:41:18 EEST 2021","27064","","Latest category and editor' picks","","Latest category and editor' picks","Articles for latest category","Articles for latest category",""
"broken","Mon Sep 20 17:40:30 EEST 2021","Mon Sep 20 17:40:41 EEST 2021","10757","","Home page","","Home page","Hamburger menu last part","Hamburger menu last part",""
"passed","Mon Sep 20 17:40:42 EEST 2021","Mon Sep 20 17:40:46 EEST 2021","3838","","Subscribe","","Subscribe","Subscribe after press email button","Subscribe after press email button",""
"passed","Mon Sep 20 17:41:33 EEST 2021","Mon Sep 20 17:41:42 EEST 2021","9472","","Search","","Search","Search with valid word","Search with valid word",""
"broken","Mon Sep 20 17:39:17 EEST 2021","Mon Sep 20 17:39:27 EEST 2021","10030","","Home page","","Home page","Hamburger menu last part","Hamburger menu last part",""
"broken","Mon Sep 20 17:40:18 EEST 2021","Mon Sep 20 17:40:30 EEST 2021","11824","","Home page","","Home page","Hamburger Menu first part","Hamburger Menu first part",""
"passed","Mon Sep 20 17:40:00 EEST 2021","Mon Sep 20 17:40:06 EEST 2021","6355","","Home page","","Home page","Menu","Menu",""
"broken","Mon Sep 20 17:38:15 EEST 2021","Mon Sep 20 17:38:44 EEST 2021","28800","","Category and articles for category","","Category and articles for category","Articles for omg category","Articles for omg category",""
